Method dt Error
Euler 6.2500000000000000e-02 1.1805310719649520e-02
Euler 3.1250000000000000e-02 5.8241519151256971e-03
Euler 1.5625000000000000e-02 2.8929169275349609e-03
Euler 7.8125000000000000e-03 1.4417252494051680e-03
Euler 3.9062500000000000e-03 7.1968627990609546e-04
Euler 1.9531250000000000e-03 3.5954991690700933e-04
Euler 9.7656250000000000e-04 1.7970176017118034e-04
RK2 6.2500000000000000e-02 2.5109754510205251e-04
RK2 3.1250000000000000e-02 6.1302202427393482e-05
RK2 1.5625000000000000e-02 1.5145879413813734e-05
RK2 7.8125000000000000e-03 3.7642782991786916e-06
RK2 3.9062500000000000e-03 9.3831219316609094e-07
RK2 1.9531250000000000e-03 2.3423440664860351e-07
RK2 9.7656250000000000e-04 5.8515709500106539e-08
RK4 6.2500000000000000e-02 4.9281128622347126e-08
RK4 3.1250000000000000e-02 3.0008087126276450e-09
RK4 1.5625000000000000e-02 1.8512291699579464e-10
RK4 7.8125000000000000e-03 1.1494971641212715e-11
RK4 3.9062500000000000e-03 7.1592731742953220e-13
RK4 1.9531250000000000e-03 4.4519943287468777e-14
RK4 9.7656250000000000e-04 2.0539125955565396e-15
