Method dt CPU_Time GPU_Time Speedup
Euler 6.2500000000000000e-02 1.6600009985268116e-05 4.6840007416903973e-04 3.5439810753055905e-02
Euler 3.1250000000000000e-02 2.9799994081258774e-05 9.9159998353570700e-04 3.0052435030305434e-02
Euler 1.5625000000000000e-02 5.7200086303055286e-05 1.9638000521808863e-03 2.9127245535782564e-02
Euler 7.8125000000000000e-03 1.1090002954006195e-04 4.3204999528825283e-03 2.5668332542411500e-02
Euler 3.9062500000000000e-03 2.2090005222707987e-04 8.0482999328523874e-03 2.7446796723539970e-02
Euler 1.9531250000000000e-03 4.3730007018893957e-04 1.4829599997028708e-02 2.9488325394923531e-02
Euler 9.7656250000000000e-04 8.7540003005415201e-04 2.6151500060223043e-02 3.3474180373524849e-02
RK2 6.2500000000000000e-02 3.3100019209086895e-05 1.0299000423401594e-03 3.2139059955640328e-02
RK2 3.1250000000000000e-02 6.2400009483098984e-05 1.9963000668212771e-03 3.1257830683970755e-02
RK2 1.5625000000000000e-02 1.1869997251778841e-04 3.8875000318512321e-03 3.0533754738328155e-02
RK2 7.8125000000000000e-03 2.3410003632307053e-04 7.4335000244900584e-03 3.1492572213871743e-02
RK2 3.9062500000000000e-03 4.6490004751831293e-04 1.3489800039678812e-02 3.4463079226590379e-02
RK2 1.9531250000000000e-03 9.3580002430826426e-04 2.7449799934402108e-02 3.4091324036771974e-02
RK2 9.7656250000000000e-04 1.8675000173971057e-03 5.2359600085765123e-02 3.5666812090583908e-02
RK4 6.2500000000000000e-02 7.9100020229816437e-05 2.5417000288143754e-03 3.1120910938775947e-02
RK4 3.1250000000000000e-02 2.0349991973489523e-04 5.9717000694945455e-03 3.4077384558283720e-02
RK4 1.5625000000000000e-02 3.0569999944418669e-04 1.0762299993075430e-02 2.8404708997228946e-02
RK4 7.8125000000000000e-03 6.1820005066692829e-04 2.0193399977870286e-02 3.0613965520635781e-02
RK4 3.9062500000000000e-03 1.2447000481188297e-03 3.7424399983137846e-02 3.3259051546040794e-02
RK4 1.9531250000000000e-03 2.4827000452205539e-03 8.2185099949128926e-02 3.0208639361116549e-02
RK4 9.7656250000000000e-04 5.0031000282615423e-03 1.7564409994520247e-01 2.8484304510213620e-02
